t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
425	0	0	4080768	4080760
1425	0	0	4127923	4134230
2425	0	0	3771529	3796622
3425	0	0	3833580	3857854
4425	0	0	3898818	3922604
5425	0	0	3971578	3843156
6425	0	0	3920775	3960742
7425	0	0	3979813	3915010
8425	0	0	3946316	3960759
9425	0	0	4034274	4037257
10425	0	0	4103751	4134054
11425	0	0	4176249	4218776
12425	0	0	4256756	4288041
13425	0	0	4345292	4370112
14425	0	0	4415086	4434999
15425	0	0	4501233	4536437
16425	0	0	4565679	4601012
17425	0	0	4246243	4275441
18425	0	0	4335559	4352620
19425	0	0	4404593	4018624
20425	0	0	4079748	4110926
21425	0	0	4143929	4181317
22425	0	0	4259595	4273052
23425	0	0	4334968	4353754
24425	0	0	4420848	4433649
25425	0	0	4498467	4507465
26425	0	0	4576979	4584183
27425	0	0	4674473	4673440
28425	0	0	4732413	4752368
29425	0	0	4415965	4429960
30425	0	0	4503337	4486249
31425	0	0	4154719	4195845
32425	0	0	4257142	4256930
33425	0	1	4317513	4203862
34425	1	1	4252020	4291565
35443	1	1	4321890	4344005
36425	2	2	4256900	4308736
37425	2	2	4334286	4410021
38425	2	2	4405943	4488391
39425	2	2	4488273	4551549
40425	2	2	4567024	4639714
41425	2	1	4641578	2978792
42425	1	1	2989789	3050438
43425	1	1	3090874	3108890
44425	0	0	1406868	1450203
45425	0	0	1488477	1123058
46425	0	0	1160521	1210609
47425	0	0	1260017	873371
48425	0	0	938803	959954
49425	0	0	1004213	1049723
50425	0	0	1096263	1135929
51425	0	0	1192150	1216643
52425	0	0	1268350	1299611
53425	0	0	1340120	1415824
54425	0	0	1426143	1516192
55425	0	0	1504811	1186365
56425	0	0	1587261	1252009
57425	0	0	1262971	1339778
58425	0	0	931461	1017647
59425	0	0	1021713	1104355
60425	0	0	1110059	1073859
61425	0	0	1078190	1164583
62425	0	0	1149567	1134271
63425	0	0	1120850	1226243
64425	0	0	1205155	1316359
65425	0	0	1271655	1408670
66425	0	0	1357466	1488736
67425	0	0	1431763	1556682
68425	0	0	1509865	1619715
69425	0	0	1598158	1714283
70425	0	0	1655836	1761064
71425	0	0	1728755	1429534
72425	0	0	1806802	1498785
73425	0	0	1478081	1571895
74425	0	0	1575317	1229502
75425	0	0	1224695	1330243
76425	0	0	1310005	1409996
77425	0	0	1372501	1502960
78425	0	0	1454520	1563175
79425	0	0	1555298	1637278
80425	0	0	1628204	1713791
81425	0	0	1690156	1784604
82425	0	0	1771122	1858328
83425	0	0	1849282	1558719
84425	0	0	1922562	1572118
85425	0	0	1583411	1626342
86425	0	0	1643013	1678539
87425	0	0	1295499	1334360
88425	0	0	1397775	1411937
89425	0	0	1488014	1344932
90425	0	0	1431358	1401165
91425	0	0	1519422	1488886
92425	0	0	1446499	1450383
93425	0	0	1536748	1534461
94425	0	0	1650106	1624199
95425	0	0	1699070	1704156
96425	0	0	1790135	1761205
97425	0	0	1872189	1849491
98425	0	0	1949153	1917405
99425	0	0	2024634	2010113
100425	0	0	2101983	2097461
101425	0	0	2166326	1750134
102425	0	0	1828738	1843566
103425	0	0	1908734	1913847
104425	0	0	1588630	1588444
105425	0	0	1660577	1658816
106425	0	0	1741040	1720180
107425	0	0	1808909	1799415
108425	0	0	1899200	1846890
109425	0	0	1986584	1938934
110425	0	0	2095582	1992100
111425	0	0	2173943	2065417
112425	0	0	2257377	2134005
113425	0	0	1894017	2203719
114425	0	0	1960806	1849817
115425	0	0	2047645	1930952
116425	0	0	1726182	2007480
117425	0	0	1810150	2063472
118425	0	0	1758849	1720290
119425	0	0	1817185	1661130
120425	0	0	1753658	1743443
121425	0	0	1844278	1818576
122449	0	0	1905332	1865164
123425	0	0	1962586	1789758
124425	0	0	2029289	1842818
125425	0	0	2102782	1940353
126425	0	0	2163272	2020957
127425	0	0	2237207	2095965
128425	0	0	2271715	2171124
129425	0	0	2337060	2221773
130425	0	0	2392234	2295820
131425	0	0	2452407	2373266
132425	0	0	2107726	2451870
133425	0	0	2183298	2112894
134425	0	0	2266859	2167183
135425	0	0	1943327	2244346
136425	0	0	1982744	2324182
137446	0	0	2054274	1964369
138425	0	0	2108523	2025971
139425	0	0	2188329	2100228
140425	0	0	2239052	2145125
141425	0	0	2298906	2250812
142425	0	0	2367557	2305642
143425	0	0	2420195	2384739
144425	0	0	2485559	2456170
145425	0	0	2553329	2517452
146425	0	0	2623475	2575348
147425	0	0	2278666	2235121
148425	0	0	2335652	2301551
149425	0	0	2385316	2395523
150425	0	0	2019596	2061733
151425	0	0	2083343	2130927
152425	0	0	2140638	2065517
153425	0	0	2081916	2125642
154425	0	0	2162349	2200475
155425	0	0	2224770	2259331
156425	0	0	2130975	2163246
157425	0	0	2206459	2208692
158425	0	0	2278357	2257538
159425	0	0	2323315	2318359
160425	0	0	2388782	2389529
161425	0	0	2442590	2439556
162425	0	0	2487260	2501763
163425	0	0	2552213	2589544
164425	0	0	2652331	2633822
165425	0	0	2731160	2690409
166425	0	0	2760416	2766759
167425	0	0	2824363	2402733
168425	0	0	2470511	2449305
169425	0	0	2527546	2511757
170425	0	0	2594781	2575035
171425	0	0	2234761	2623306
172425	0	0	2298754	2285423
173425	0	0	2363900	2351729
174425	0	0	2432387	2404501
175425	0	0	2491690	2459480
176425	0	0	2534676	2523833
177425	0	0	2570830	2597119
178425	0	0	2643849	2627929
179425	0	0	2697293	2662280
180425	0	0	2739440	2696430
181425	0	0	2774871	2765342
182425	0	0	2827044	2807115
183425	0	0	2897561	2852229
184425	0	0	2952627	2888921
185425	0	0	2614523	2549528
186425	0	0	2629176	2596537
187425	0	0	2629176	2629239
188425	0	0	2629176	2629239
