t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
122	0	0	100001	100001
1122	0	0	100001	100001
2122	0	0	100001	100001
3122	0	0	175645	174874
4122	0	0	297919	295362
5122	0	0	395187	392926
6122	0	0	513422	513609
7122	0	0	637300	642095
8122	0	0	762578	770822
9122	0	0	565557	260330
10122	0	0	349696	361659
11122	0	0	450397	461998
12122	0	0	542874	567763
13122	0	0	639991	663279
14122	0	0	758247	781054
15122	0	0	874561	889745
16122	0	0	978787	997467
17122	0	0	1084588	1103252
18122	0	0	1184086	748527
19122	0	0	374911	409024
20122	0	0	473693	514001
21122	0	0	565575	606417
22122	0	0	654774	706178
23122	0	0	748456	793007
24122	0	0	836716	885864
25122	0	0	924221	970100
26122	0	0	1006803	1058793
27122	0	0	1090420	1148708
28122	0	0	1182051	1236959
29122	0	0	1264336	1319516
30123	0	0	908874	964868
31122	0	0	560858	614635
32122	0	0	616506	616556
33122	0	0	616506	616556
