t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
870	0	0	816105	818425
1870	0	0	909418	921670
2870	0	0	1002220	1022732
3870	0	0	1091177	1116234
4870	0	0	1174925	1207197
5870	0	0	1261999	1293907
6870	0	0	1340427	1374696
7870	0	0	1424347	1027957
8870	0	0	629250	673514
9870	0	0	713812	751967
10870	0	0	794374	833854
11870	0	0	755108	803722
12870	0	0	833145	775805
13870	0	0	795564	843316
14870	0	0	870481	913101
15870	0	0	940408	990135
16870	0	0	1016690	1060989
17870	0	0	1089091	1140290
18870	0	0	1166387	1214530
19870	0	0	1237090	1291922
20870	0	0	1312621	1365617
21870	0	0	1382565	1438106
22870	0	0	1449236	1508570
23870	0	0	1517576	1585833
24870	0	0	1585729	1220721
25870	0	0	1218452	1282061
26870	0	0	1283250	910383
27870	0	0	916158	980967
28870	0	0	983305	1050514
29870	0	0	1047536	1122471
30870	0	0	1110839	1183632
31870	0	0	1174246	1248233
32870	0	0	1239547	1312580
33870	0	0	1304988	1372254
34870	0	0	1365891	1434964
35870	0	0	1428107	1498967
36870	0	0	1490741	1558274
37870	0	0	1555266	1620449
38870	0	0	1621652	1682612
39870	0	0	1681159	1743156
40870	0	0	1742108	1368075
41870	0	0	1370647	995179
42870	0	0	993113	1062233
43870	0	0	1054941	1126851
44870	0	0	1117994	1185067
45870	0	0	1176446	1139337
46870	0	0	1124870	1083694
47870	0	0	1182862	1140800
48870	0	0	1123876	1175401
49870	0	0	1172975	1195345
50870	0	0	1189032	1221293
51870	0	0	1213102	1165356
52870	0	0	1237908	1190061
53870	0	0	1180786	1203833
54870	0	0	1198038	1183691
55870	0	0	1175694	1203295
56870	0	0	1178556	1207801
57870	0	0	1198555	1244304
58870	0	0	1231858	1258398
59870	0	0	1250467	1299005
60870	0	0	1279375	1388259
61870	0	0	1327656	1457782
62870	0	0	1458871	1546152
63870	0	0	1451098	1543515
64870	0	0	1574218	1494129
65870	0	0	1520518	1611254
66870	0	0	1633956	1733402
67870	0	0	1747752	1854411
68870	0	0	1853664	1974154
69870	0	0	1955680	2068162
70870	0	0	2065160	2180266
71870	0	0	2178106	1841619
72870	0	0	1842827	1519818
73870	0	0	1942226	1623627
74870	0	0	1602993	1734304
75870	0	0	1705029	1833370
76870	0	0	1796923	1933958
77870	0	0	1890354	2021081
78870	0	0	1988856	1823813
79870	0	0	1784281	1656886
